episode,controller,wh_per_km,comfort_score
0,RL_Adaptive,0.0,0.9876984253806186
0,Eco_Baseline,19.54844230882255,0.0
0,Sport_Baseline,32.10478526789402,0.0
0,RuleBased,22.945402585743494,0.0
1,RL_Adaptive,0.0,0.9884248666817337
1,Eco_Baseline,5.262404183563385,0.0
1,Sport_Baseline,15.674895458954452,0.0
1,RuleBased,9.54732798887268,0.0
2,RL_Adaptive,5.053071075422861,0.4931439715552931
2,Eco_Baseline,21.906466686868182,0.0
2,Sport_Baseline,36.29332193751819,0.0
2,RuleBased,29.849043518982473,0.0
3,RL_Adaptive,0.0,0.9858435435130921
3,Eco_Baseline,9.191435190159446,0.0
3,Sport_Baseline,22.499986907545757,0.0
3,RuleBased,15.267053080338922,0.0
4,RL_Adaptive,0.0,0.9890150837106958
4,Eco_Baseline,-7.9320567046401225,0.0
4,Sport_Baseline,18.697893369373645,0.0
4,RuleBased,3.688447128715764,0.0
5,RL_Adaptive,4.461504956413608,0.43292890589472965
5,Eco_Baseline,21.207934839386006,0.0
5,Sport_Baseline,23.320954594915836,0.0
5,RuleBased,24.2182381428663,0.0
6,RL_Adaptive,0.0,0.9807870689259596
6,Eco_Baseline,19.62189004348745,0.0
6,Sport_Baseline,35.29808626179354,0.0
6,RuleBased,36.17229766501682,0.0
7,RL_Adaptive,0.0,0.9899286906190152
7,Eco_Baseline,17.493702899151575,0.0
7,Sport_Baseline,39.827651041293166,0.0
7,RuleBased,37.38976044434844,0.0
8,RL_Adaptive,0.0,0.9945840900734698
8,Eco_Baseline,11.811069025694598,0.0
8,Sport_Baseline,38.55743486469613,0.0
8,RuleBased,23.74389897141656,0.0
9,RL_Adaptive,11.044915548071756,0.08417742390185588
9,Eco_Baseline,3.7342185903790917,0.0
9,Sport_Baseline,23.48450470185308,0.0
9,RuleBased,16.505487500889778,0.0
10,RL_Adaptive,25.089539241616293,0.0
10,Eco_Baseline,0.16223323974249876,0.0
10,Sport_Baseline,13.42900844767181,0.0
10,RuleBased,6.1373726007703935,0.0
11,RL_Adaptive,0.0,0.9902858388542521
11,Eco_Baseline,7.2077137152335515,0.0
11,Sport_Baseline,25.08786417742498,0.0
11,RuleBased,16.928685205065136,0.0
12,RL_Adaptive,0.0,0.994169922684118
12,Eco_Baseline,14.67873786382376,0.0
12,Sport_Baseline,32.808040913209766,0.0
12,RuleBased,25.21190661610094,0.0
13,RL_Adaptive,0.0,0.9837692134336085
13,Eco_Baseline,20.203972844307735,0.0
13,Sport_Baseline,36.601735750336026,0.0
13,RuleBased,33.17895163102858,0.0
14,RL_Adaptive,0.0,0.9878374334270223
14,Eco_Baseline,14.364877120922229,0.0
14,Sport_Baseline,36.199180378250574,0.0
14,RuleBased,28.619153403843136,0.0
15,RL_Adaptive,0.0,0.9749507964997092
15,Eco_Baseline,3.719927431266651,0.0
15,Sport_Baseline,21.53264391482623,0.0
15,RuleBased,7.42985098347748,0.0
16,RL_Adaptive,22.253099836023758,0.025871639044847235
16,Eco_Baseline,9.1121199596984,0.0
16,Sport_Baseline,23.23450666857149,0.0
16,RuleBased,15.925372907439147,0.0
17,RL_Adaptive,0.0,0.9837515087310199
17,Eco_Baseline,-0.3573629002134807,0.0
17,Sport_Baseline,20.221422189694575,0.0
17,RuleBased,9.658504726416776,0.0
18,RL_Adaptive,0.0,0.9928957613332442
18,Eco_Baseline,15.761322485754413,0.0
18,Sport_Baseline,37.66671265846827,0.0
18,RuleBased,23.948456291522373,0.0
19,RL_Adaptive,0.0,0.9790423479710736
19,Eco_Baseline,22.121531317071383,0.0
19,Sport_Baseline,45.40883018115761,0.0
19,RuleBased,27.512058513182208,0.0
