episode,controller,reward,energy_wh,dist_m,wh_per_km,comfort_score,success,trip_type,traffic,payload
0,RL_Adaptive,-564.3585363713354,25.44611131041266,1000.354222096774,25.43710092718638,0.007887126553854588,False,0,3,0
0,Eco,-1.2915338646813899,0.0,2.0500537534625236,0.0,1.2189388841332294e-08,False,0,3,0
0,Commute,-3.012167309621577,0.0,4.781217951780281,0.0,3.488255100386336e-19,False,0,3,0
0,Sport,-6.053120793073625,0.0,9.584300300737732,0.0,1.0018697355573888e-37,False,0,3,0
0,RuleBased,-1.8848558355367226,0.0,2.9918346595820995,0.0,2.8205594533218062e-12,False,0,3,0
1,RL_Adaptive,-0.03150605718082276,0.0,0.0,0.0,0.9927334611003898,False,1,3,30
1,Eco,-0.9131279284047322,0.0,1.4494094101662416,0.0,2.5392565884712697e-06,False,1,3,30
1,Commute,-2.2821332851418834,0.0,3.622433785939497,0.0,1.0374646200071538e-14,False,1,3,30
1,Sport,-4.689694671829112,0.0,7.443959796554146,0.0,1.8338840913183146e-29,False,1,3,30
1,RuleBased,-1.385198815297803,0.0,2.198728278250481,0.0,3.251168514744681e-09,False,1,3,30
2,RL_Adaptive,-183.0624270563968,4.341220998840211,1024.1477502474202,4.238862017508149,0.06593933207805855,False,2,1,60
2,Eco,-0.8231565839415385,0.0,1.3065977522881562,0.0,9.036828790985302e-06,False,2,1,60
2,Commute,-1.9598646516395808,0.0,3.110896272443779,0.0,9.788369530704443e-13,False,2,1,60
2,Sport,-3.958903178594813,0.0,6.283973299356846,0.0,5.512878420483803e-25,False,2,1,60
2,RuleBased,-2.547817280506161,0.0,4.044154413501842,0.0,2.443233230909964e-16,False,2,1,60
3,RL_Adaptive,-55.507042362281716,6.573799737848665,1059.0288434196568,6.207384981717342,0.2729021686508164,False,1,1,30
3,Eco,-1.1897073434174998,0.0,1.5059586625537973,0.0,1.5360456207044196e-06,False,1,1,30
3,Commute,-2.9063966002783723,0.0,3.678983038327053,0.0,6.2758249537797065e-15,False,1,1,30
3,Sport,-5.925402148663945,0.0,7.500509048941702,0.0,1.1093520994051576e-29,False,1,1,30
3,RuleBased,-3.7943395912719815,0.0,4.802961507939217,0.0,2.8752096266393786e-19,False,1,1,30
4,RL_Adaptive,-47.76102000019567,3.1523517073901446,553.019940882689,5.700249619134163,0.317919033373589,False,1,0,30
4,Eco,-1.2574958032649683,0.0,1.5917668395759093,0.0,7.163918278939812e-07,False,1,0,30
4,Commute,-2.9741850601258406,0.0,3.7647912153491654,0.0,2.9269636588782495e-15,False,1,0,30
4,Sport,-5.993190608511414,0.0,7.586317225963816,0.0,5.1738748352175895e-30,False,1,0,30
4,RuleBased,-3.8621280511194493,0.0,4.8887696849613285,0.0,1.340960614868954e-19,False,1,0,30
5,RL_Adaptive,-0.04045079280686339,0.0,0.0,0.0,0.9906800926354524,False,0,3,0
5,Eco,-1.1468251041295534,0.0,1.8203573081421482,0.0,9.390766260707243e-08,False,0,3,0
5,Commute,-2.8674585490697404,0.0,4.551521506459905,0.0,2.6873692136535227e-18,False,0,3,0
5,Sport,-5.905655675177944,0.0,9.35460385541736,0.0,7.718454659838074e-37,False,0,3,0
5,RuleBased,-1.740147074984886,0.0,2.7621382142617232,0.0,2.1729731404383132e-11,False,0,3,0
6,RL_Adaptive,-413.2377612083837,29.092858163977674,1003.9464566630659,28.978495786196614,0.04274571094186844,False,0,2,60
6,Eco,-0.9943938348265847,0.0,1.2587263731982083,0.0,1.382988299059952e-05,False,0,2,60
6,Commute,-2.4197896657495264,0.0,3.063024893353831,0.0,1.4980034302899784e-12,False,0,2,60
6,Sport,-4.92652051701085,0.0,6.236101920266899,0.0,8.43686045847708e-25,False,0,2,60
6,RuleBased,-1.4859097158755974,0.0,1.8808983745260726,0.0,5.482625442068411e-08,False,0,2,60
7,RL_Adaptive,-0.04395245207555345,0.0,0.0,0.0,0.9884397068453046,False,2,3,60
7,Eco,-0.6412215636097675,0.0,1.1658573883813954,0.0,3.157399290350232e-05,False,2,3,60
7,Commute,-1.6335857496953596,0.0,2.9701559085370177,0.0,3.4199819123232915e-12,False,2,3,60
7,Sport,-3.3787781144975475,0.0,6.1432329354500865,0.0,1.9261578165546365e-24,False,2,3,60
7,RuleBased,-0.9834161643400927,0.0,1.7880293897092594,0.0,1.2516980578801369e-07,False,2,3,60
8,RL_Adaptive,-0.00043029745742434916,0.0,0.0,0.0,0.9998861711727957,False,2,3,60
8,Eco,-0.68396653689543,0.0,1.2435755216280546,0.0,1.582365419225552e-05,False,2,3,60
8,Commute,-1.6763307229810223,0.0,3.0478740417836767,0.0,1.7139615914200657e-12,False,2,3,60
8,Sport,-3.4215230877832097,0.0,6.2209510686967455,0.0,9.653151979232145e-25,False,2,3,60
8,RuleBased,-1.0261611376257551,0.0,1.8657475229559186,0.0,6.273022636556095e-08,False,2,3,60
9,RL_Adaptive,-0.10331515735186984,0.0,0.0,0.0,0.9810494268407215,False,1,0,30
9,Eco,-1.0819000054789372,0.0,1.3694936778214395,0.0,5.1666960470860244e-06,False,1,0,30
9,Commute,-2.798589262339809,0.0,3.5425180535946956,0.0,2.1109581345655278e-14,False,1,0,30
9,Sport,-5.817594810725383,0.0,7.364044064209346,0.0,3.731454996886517e-29,False,1,0,30
9,RuleBased,-3.6865322533334184,0.0,4.666496523206859,0.0,9.671154301842214e-19,False,1,0,30
